year,month,PX1,YYYYMM
1978,1,6.034798534798535,197801
1979,1,8.914600550964188,197901
1980,1,12.65542521994135,198001
1981,1,8.121555915721231,198101
1982,1,5.431164901664145,198201
1983,1,4.809302325581395,198301
1984,1,4.405956112852665,198401
1985,1,4.047540983606558,198501
1986,1,4.009630818619582,198601
1987,1,3.886326194398682,198701
1988,1,4.112970711297071,198801
1989,1,4.895299145299146,198901
1990,1,4.920086393088553,199001
1991,1,4.636,199101
1992,1,2.7920997920997923,199201
1993,1,3.168421052631579,199301
1994,1,3.273706896551724,199401
1995,1,3.6610169491525424,199501
1996,1,3.7369565217391294,199601
1997,1,4.051282051282051,199701
1998,1,2.7911111111111118,199801
1999,1,2.728929384965832,199901
2000,1,3.313333333333333,200001
2001,1,3.7852193995381054,200101
2002,1,1.8855140186915889,200201
2003,1,2.4123006833712983,200301
2004,1,2.672686230248307,200401
2005,1,3.2986425339366514,200501
2006,1,3.640969162995595,200601
2007,1,3.4913419913419914,200701
2008,1,3.970183486238532,200801
2009,1,2.02027027027027,200901
2010,1,3.3466666666666667,201001
2011,1,4.2813852813852815,201101
2012,1,4.0777777777777775,201201
2013,1,4.336980306345733,201301
2014,1,3.835117773019272,201401
2015,1,2.653927813163482,201501
2016,1,3.0739130434782607,201601
2017,1,2.998217468805704,201701
2018,1,2.958333333333333,201801
2019,1,2.806859205776173,201901
2020,1,2.703448275862069,202001
2021,1,3.647834274952919,202101
2022,1,6.216696269982238,202201
2023,1,5.574137931034483,202301
