YYYYMM,PredictedInflation
197901,6.03
198001,8.91
198101,12.66
198201,8.12
198301,5.43
198401,4.81
198501,4.41
198601,4.05
198701,4.01
198801,3.89
198901,4.11
199001,4.9
199101,4.92
199201,4.64
199301,2.79
199401,3.17
199501,3.27
199601,3.66
199701,3.74
199801,4.05
199901,2.79
200001,2.73
200101,3.31
200201,3.79
200301,1.89
200401,2.41
200501,2.67
200601,3.3
200701,3.64
200801,3.49
200901,3.97
201001,2.02
201101,3.35
201201,4.28
201301,4.08
201401,4.34
201501,3.84
201601,2.65
201701,3.07
201801,3.0
201901,2.96
202001,2.81
202101,2.7
202201,3.65
202301,6.22
197902,7.82
198002,10.03
198102,10.47
198202,8.47
198302,5.35
198402,4.26
198502,4.95
198602,4.34
198702,3.44
198802,4.11
198902,4.51
199002,4.61
199102,4.92
199202,4.15
199302,3.0
199402,4.17
199502,3.48
199602,3.83
199702,3.57
199802,3.58
199902,2.45
200002,2.75
200102,3.39
200202,3.1
200302,2.22
200402,3.14
200502,2.96
200602,3.31
200702,3.63
200802,3.62
200902,3.89
201002,1.49
201102,3.47
201202,4.37
201302,3.89
201402,4.36
201502,4.16
201602,3.01
201702,2.79
201802,3.23
201902,3.02
202002,3.0
202102,2.7
202202,4.32
202302,6.13
197903,7.04
198003,9.85
198103,12.01
198203,6.69
198303,5.55
198403,2.81
198503,4.64
198603,4.13
198703,2.67
198803,3.73
198903,4.11
199003,5.08
199103,4.67
199203,4.07
199303,2.83
199403,4.87
199503,4.07
199603,4.17
199703,3.84
199803,3.41
199903,2.71
200003,2.81
200103,3.8
200203,3.12
200303,2.84
200403,3.65
200503,3.41
200603,3.81
200703,3.76
200803,3.58
200903,4.8
201003,1.83
201103,3.33
201203,5.15
201303,4.64
201403,3.93
201503,4.06
201603,3.43
201703,3.14
201803,3.07
201903,3.21
202003,2.85
202103,2.5
202203,4.3
202303,7.67
197904,7.2
198004,10.09
198104,10.56
198204,8.14
198304,5.0
198404,4.15
198504,5.7
198604,4.87
198704,3.04
198804,3.57
198904,4.23
199004,4.93
199104,4.42
199204,4.25
199304,3.35
199404,3.6
199504,4.26
199604,4.11
199704,4.47
199804,3.52
199904,2.58
200004,3.19
200104,3.47
200204,3.6
200304,2.97
200404,2.66
200504,3.86
200604,3.99
200704,4.37
200804,3.85
200904,5.55
201004,2.78
201104,3.79
201204,5.29
201304,3.84
201404,3.96
201504,4.08
201604,3.16
201704,3.22
201804,2.85
201904,3.2
202004,3.03
202104,2.23
202204,4.32
202304,7.88
197905,8.0
198005,11.66
198105,8.22
198205,7.49
198305,4.7
198405,4.44
198505,5.29
198605,4.3
198705,3.35
198805,4.36
198905,4.7
199005,5.7
199105,4.37
199205,4.33
199305,2.74
199405,4.09
199505,3.67
199605,4.3
199705,4.92
199805,3.83
199905,3.04
200005,3.0
200105,3.29
200205,3.84
200305,2.95
200405,2.56
200505,3.96
200605,3.73
200705,4.6
200805,4.23
200905,6.95
201005,2.92
201105,3.87
201205,4.68
201305,3.52
201405,4.06
201505,4.25
201605,3.2
201705,2.96
201805,2.97
201905,3.2
202005,3.35
202105,2.95
202205,5.59
202305,7.25
197906,8.2
198006,11.78
198106,8.58
198206,6.69
198306,5.74
198406,4.27
198506,4.59
198606,4.62
198706,3.72
198806,4.13
198906,5.03
199006,4.91
199106,4.59
199206,4.06
199306,3.64
199406,4.6
199506,3.63
199606,3.67
199706,3.97
199806,3.51
199906,3.11
200006,3.0
200106,3.46
200206,3.89
200306,2.84
200406,2.38
200506,3.86
200606,3.94
200706,4.33
200806,4.04
200906,6.45
201006,3.59
201106,3.36
201206,4.32
201306,3.51
201406,3.68
201506,3.59
201606,3.37
201706,2.98
201806,3.1
201906,3.49
202006,3.42
202106,3.18
202206,5.93
202306,8.36
197907,7.45
198007,11.47
198107,8.24
198207,6.23
198307,5.86
198407,4.42
198507,4.41
198607,3.7
198707,3.35
198807,3.93
198907,5.38
199007,4.79
199107,4.49
199207,3.69
199307,3.62
199407,3.97
199507,3.95
199607,3.74
199707,3.97
199807,3.16
199907,2.82
200007,2.83
200107,3.62
200207,2.88
200307,2.59
200407,2.17
200507,3.48
200607,3.56
200707,3.78
200807,4.21
200907,6.36
201007,3.42
201107,3.16
201207,4.33
201307,3.83
201407,3.96
201507,3.98
201607,3.6
201707,3.1
201807,2.84
201907,3.52
202007,3.14
202107,3.37
202207,5.76
202307,8.17
197908,8.74
198008,10.78
198108,8.08
198208,6.58
198308,6.02
198408,4.83
198508,4.49
198608,3.46
198708,3.97
198808,4.35
198908,5.38
199008,4.33
199108,5.62
199208,3.83
199308,3.71
199408,4.42
199508,4.41
199608,3.57
199708,4.03
199808,3.19
199908,2.65
200008,3.03
200108,3.48
200208,2.98
200308,2.49
200408,2.64
200508,2.96
200608,3.69
200708,4.6
200808,3.97
200908,5.0
201008,2.73
201108,3.32
201208,4.33
201308,4.34
201408,4.11
201508,3.88
201608,3.39
201708,2.89
201808,3.01
201908,3.47
202008,3.32
202108,3.39
202208,6.08
202308,6.02
197909,7.64
198009,10.01
198109,8.4
198209,7.11
198309,5.09
198409,4.79
198509,4.0
198609,4.03
198709,3.29
198809,4.2
198909,5.36
199009,4.56
199109,5.69
199209,3.46
199309,3.58
199409,4.25
199509,4.65
199609,3.76
199709,4.2
199809,3.44
199909,2.54
200009,3.24
200109,3.79
200209,3.13
200309,2.88
200409,3.33
200509,3.1
200609,5.31
200709,3.63
200809,3.83
200909,4.47
201009,2.65
201109,2.97
201209,4.25
201309,4.28
201409,4.01
201509,3.75
201609,3.08
201709,2.92
201809,3.12
201909,3.21
202009,3.31
202109,3.07
202209,5.94
202309,6.03
197910,7.43
198010,8.85
198110,9.45
198210,7.07
198310,5.46
198410,5.44
198510,5.02
198610,4.65
198710,3.6
198810,4.13
198910,5.07
199010,4.51
199110,5.91
199210,4.08
199310,3.36
199410,3.75
199510,3.69
199610,3.5
199710,4.13
199810,3.15
199910,2.54
200010,3.4
200110,4.13
200210,1.43
200310,2.79
200410,3.02
200510,3.49
200610,5.54
200710,3.48
200810,3.58
200910,4.1
201010,3.0
201110,3.28
201210,3.98
201310,4.17
201410,3.56
201510,3.36
201610,3.3
201710,2.98
201810,2.92
201910,3.53
202010,2.9
202110,2.82
202210,6.23
202310,6.99
197911,8.12
198011,11.32
198111,8.11
198211,7.1
198311,4.89
198411,5.04
198511,4.87
198611,4.34
198711,3.73
198811,3.92
198911,5.3
199011,4.76
199111,5.3
199211,3.88
199311,3.85
199411,3.47
199511,4.4
199611,3.41
199711,3.8
199811,3.28
199911,2.53
200011,3.01
200111,3.73
200211,0.73
200311,2.47
200411,3.02
200511,3.26
200611,4.27
200711,3.33
200811,4.39
200911,2.72
201011,2.96
201111,3.42
201211,3.94
201311,3.78
201411,3.66
201511,2.97
201611,3.2
201711,2.95
201811,2.9
201911,3.21
202011,2.97
202111,2.96
202211,6.75
202311,6.85
197912,8.24
198012,10.59
198112,9.92
198212,5.59
198312,5.13
198412,4.79
198512,4.66
198612,5.17
198712,4.0
198812,3.5
198912,4.95
199012,4.27
199112,4.71
199212,3.17
199312,2.99
199412,3.34
199512,3.71
199612,3.11
199712,3.74
199812,3.22
199912,2.73
200012,3.45
200112,3.28
200212,1.75
200312,2.41
200412,2.73
200512,3.3
200612,4.01
200712,3.4
200812,4.34
200912,1.15
201012,2.89
201112,3.77
201212,3.59
201312,3.83
201412,3.71
201512,2.95
201612,2.84
201712,2.73
201812,3.01
201912,3.17
202012,2.7
202112,3.1
202212,6.26
202312,6.41
