PX1,FPCPITOTLZGUSA
6.034798534798535,7.63096383885602
8.914600550964188,11.2544711292795
12.65542521994135,13.5492019749684
8.121555915721231,10.3347153402771
5.431164901664145,6.13142700027494
4.809302325581395,3.21243523316063
4.405956112852665,4.30053547523427
4.047540983606558,3.54564415209369
4.009630818619582,1.89804772234275
3.886326194398682,3.66456321751691
4.112970711297071,4.07774110744408
4.895299145299146,4.82700303008949
4.920086393088553,5.39795643990322
4.636,4.23496396453853
2.7920997920997923,3.0288196781497
3.168421052631579,2.95165696638554
3.273706896551724,2.6074415921546
3.6610169491525424,2.80541968853655
3.7369565217391294,2.9312041999344
4.051282051282051,2.33768993730741
2.791111111111112,1.55227909874362
2.728929384965832,2.18802719697358
3.313333333333333,3.37685727149935
3.7852193995381054,2.82617111885402
1.8855140186915889,1.58603162650603
2.4123006833712983,2.27009497336113
2.672686230248307,2.67723669309173
3.2986425339366514,3.39274684549547
3.640969162995595,3.22594410070407
3.4913419913419914,2.85267248150136
3.970183486238532,3.83910029665101
2.02027027027027,-0.35554626629975
3.3466666666666667,1.64004344238989
4.2813852813852815,3.15684156862206
4.0777777777777775,2.06933726526059
4.336980306345733,1.46483265562714
3.835117773019272,1.62222297740821
2.653927813163482,0.118627135552435
3.0739130434782607,1.26158320570537
2.998217468805704,2.13011000365963
2.958333333333333,2.44258329692818
2.806859205776173,1.81221007526015
2.703448275862069,1.23358439630637
3.647834274952919,4.69785886363739
6.216696269982238,8.00279982052117
