year,PX1
1978,7.660094823257412
1979,10.446169646018864
1980,9.558238727753682
1981,7.106293435622182
1982,5.350453187004209
1983,4.50381056821169
1984,4.753417398946021
1985,4.30608651055096
1986,3.513749249798744
1987,3.984111316740062
1988,4.8448184321547165
1989,4.778417285307476
1990,4.966621161331328
1991,3.967517353389651
1992,3.2885152518786067
1993,3.976392101514969
1994,3.9318000832927766
1995,3.736212326195226
1996,4.030512766205239
1997,3.4457587921875796
1998,2.707495513508946
1999,3.037085710848066
2000,3.56468152619021
2001,2.8526413550765515
2002,2.6111645241368557
2003,2.8086057847624963
2004,3.3593862549277844
2005,4.0384562648992866
2006,3.8782610834750777
2007,3.9282995112821912
2008,4.617018558886195
2009,2.689076250365875
2010,3.42429783865186
2011,4.375805557365397
2012,3.9755958750023557
2013,3.943863977133189
2014,3.7391296308901754
2015,3.1846497569616274
2016,2.9779497923009863
2017,3.0004710177788705
2018,3.2652470086577217
2019,3.067135962630978
2020,2.9148249327068316
2021,5.427944803398707
2022,6.997436932004543
2023,5.643405850451596
